km_driven,mileage,engine,max_power,age,make,Individual,Vehical_type,fuel_type,seat
30000,15.4,1997.0,120.0,6.0,MAHINDRA,1,1,1,7
66100,26.0,1498.0,98.6,9.0,HONDA,0,1,1,5
50000,28.4,1248.0,74.02,6.0,MARUTI,1,1,1,5
42000,15.4,1997.0,120.0,6.0,MAHINDRA,0,1,1,7
55000,18.6,1197.0,81.83,6.0,HYUNDAI,1,1,4,5
110699,20.36,1197.0,78.9,11.0,HYUNDAI,0,1,4,5
5000,21.4,1197.0,83.1,4.0,MARUTI,1,0,4,5
50000,22.74,796.0,47.3,7.0,MARUTI,1,1,4,5
44000,19.1,1197.0,85.8,13.0,MARUTI,0,1,4,5
90000,24.3,1248.0,88.5,5.0,MARUTI,1,1,1,5
55000,17.01,1591.0,121.3,7.0,HYUNDAI,0,1,4,5
45000,24.3,1248.0,88.5,6.0,MARUTI,0,1,1,5
30000,21.4,1197.0,83.1,6.0,MARUTI,1,1,4,5
50000,17.01,1591.0,121.3,10.0,HYUNDAI,1,1,4,5
20000,15.37,1196.0,73.0,10.0,MARUTI,1,1,4,5
69000,19.01,1461.0,108.5,8.0,NISSAN,0,1,1,5
19843,21.21,1197.0,81.8,6.0,MARUTI,0,0,4,5
20000,19.09,1405.0,69.01,9.0,TATA,1,1,1,5
30000,11.4,2953.0,153.86,12.0,FORD,1,0,1,7
52300,13.68,2393.0,147.51,6.0,TOYOTA,0,1,1,7
40000,18.0,1497.0,117.3,7.0,HONDA,1,0,4,5
61500,23.4,1248.0,74.0,9.0,MARUTI,0,1,1,5
59000,18.0,1198.0,86.7,8.0,HONDA,0,1,4,5
40000,18.9,1197.0,81.86,5.0,HYUNDAI,1,1,4,5
60000,17.68,1968.0,174.33,10.0,AUDI,1,0,1,5
61000,18.9,1197.0,82.0,10.0,HYUNDAI,0,1,4,5
70000,25.32,1198.0,77.0,7.0,MAHINDRA,1,1,1,7
63000,15.1,2179.0,140.0,10.0,MAHINDRA,0,1,1,7
58000,12.3,1796.0,185.0,11.0,MERCEDES-BENZ,0,1,4,5
40000,19.0,998.0,67.1,10.0,MARUTI,1,1,4,5
49000,17.21,1493.0,100.0,8.0,MAHINDRA,1,1,1,7
22000,28.4,1248.0,74.02,6.0,MARUTI,1,1,1,5
57977,17.0,1497.0,118.0,13.0,HONDA,0,1,4,5
70000,24.4,1120.0,71.0,7.0,HYUNDAI,1,1,1,5
13000,12.19,1997.0,237.36,5.0,LAND,0,0,4,2
67000,17.33,1998.0,189.08,11.0,MINI,0,0,4,2
48242,20.77,1248.0,88.76,9.0,MARUTI,0,1,1,7
68000,20.0,1399.0,68.05,11.0,FORD,0,1,1,5
40000,20.77,1248.0,88.8,9.0,MARUTI,1,1,1,7
98000,12.07,2967.0,241.4,11.0,AUDI,0,0,1,7
113450,23.4,1248.0,74.0,10.0,MARUTI,1,1,1,5
80000,20.51,998.0,67.0,5.0,MARUTI,1,0,4,5
1000,20.3,1086.0,68.0,3.0,HYUNDAI,0,0,4,5
20292,20.51,998.0,67.04,8.0,MARUTI,0,1,4,5
67900,12.05,2179.0,120.0,13.0,MAHINDRA,0,1,1,7
70000,25.44,936.0,57.6,11.0,CHEVROLET,1,1,1,5
40000,15.4,1997.0,120.0,8.0,MAHINDRA,0,1,1,7
60000,24.0,1186.0,73.97,6.0,HYUNDAI,1,1,1,5
25000,24.04,999.0,67.0,5.0,RENAULT,1,0,4,5
70000,18.9,998.0,67.1,17.0,MARUTI,1,1,4,5
21000,27.39,1248.0,74.0,5.0,MARUTI,1,1,1,5
39000,16.36,2179.0,140.0,5.0,MAHINDRA,0,1,1,7
30000,15.8,1591.0,121.3,6.0,HYUNDAI,0,1,4,5
61000,22.32,1582.0,126.3,11.0,HYUNDAI,0,1,1,5
5743,20.4,1197.0,83.11,6.0,MARUTI,0,1,4,5
44000,20.45,1461.0,83.8,6.0,NISSAN,0,1,1,5
24200,18.9,1197.0,81.86,5.0,HYUNDAI,1,1,4,5
57000,27.39,1248.0,74.0,6.0,MARUTI,1,1,1,5
58000,20.36,1197.0,78.9,12.0,HYUNDAI,0,1,4,5
15000,19.44,1198.0,67.0,6.0,DATSUN,1,1,4,7
10000,23.1,998.0,67.04,6.0,MARUTI,1,1,4,5
70000,17.45,1493.0,100.0,7.0,MAHINDRA,1,1,1,7
65000,18.6,1199.0,79.4,12.0,CHEVROLET,0,1,4,5
100000,15.1,2179.0,140.0,8.0,MAHINDRA,1,1,1,7
2000,11.29,2998.0,335.0,3.0,BMW,0,0,4,2
10000,20.52,1197.0,81.8,3.0,MARUTI,1,1,4,5
